headword,level,toefl,ielts
arid,B2,1,0
arise,B1,1,1
aristocracy,B2,1,1
aristocrat,C1,1,1
aristocratic,B2,0,1
arithmetic,B1,1,1
arm,A1,1,1
armchair,A2,0,1
armed,A2,0,0
armful,B2,1,0
armor,B1,1,0
armory/armoury,C2,1,0
armour,B2,0,1
arms,B1,1,1
army,B1,1,1
around,A2,0,1
arouse,B2,1,1
arrange,B1,1,1
arrangement,B1,1,1
array,B1,1,1
arrest,B1,1,1
arrival,B1,1,1
arrive,A1,1,1
arrogance,B2,0,1
arrogant,B2,1,1
arrogantly,C1,0,1
arrow,B1,1,1
art,A1,1,1
artery,B2,1,0
article,A1,1,1
articulate,B2,1,0
articulation,C2,0,0
artifact,C2,1,0
artifice,C2,1,0
artificial,A2,1,1
artificially,B2,0,0
artisan,B2,1,0
artist,B1,1,1
artistic,B1,1,1
artistically,C1,0,0
artistry,B2,0,0
artwork,A2,1,0
as,A2,0,0
ascend,B2,1,1
ascertain,B2,0,1
ascribe,B2,1,1
ash,B2,1,1
ashamed,B1,1,1
ashore,B2,0,1
ashtray,C1,0,1
Asian,B1,0,1
aside,B1,1,1
ask,A1,0,1
asleep,A2,1,1
aspect,B1,1,1
asphalt,B2,1,0
aspiration,B2,1,0
aspire,B2,1,0
aspirin,B1,0,1
aspiring,B2,1,0
ass,B2,0,1
assassinate,C1,1,1
assassination,B2,1,1
assault,B2,1,1
assemble,B2,1,1
assembly,B2,1,1
assert,B2,1,1
assertion,C1,0,1
assess,B2,1,1
assessment,B2,1,1
asset,B2,1,0
assign,B1,1,1
assignment,B1,1,1
assimilate,C2,1,0
assimilation,C2,0,0
assist,B1,1,1
assistance,B1,1,1
assistant,A2,1,1
associate,B1,1,1
associated,C2,0,1
association,A2,1,1
associative,C1,0,1
assorted,B2,1,1
assortment,B2,1,1
assume,B1,1,1
assumption,B2,1,1
assurance,B2,0,1
assure,B2,1,1
assured,B1,0,1
asteroid,B2,1,0
astonish,B2,1,1
astonished,B2,0,0
astonishing,B2,1,0
astonishment,B2,0,1
astound,C2,1,1
astray,C1,0,1
astringent,C2,1,0
astronaut,A2,0,1
astronomer,B1,1,1
astronomical,C1,1,1
astronomy,B2,1,1
astute,C1,1,0
at,A1,0,0
atheist,C1,1,0
athlete,A2,1,1
athletic,B1,1,1
athleticism,C2,0,0
athletics,B2,0,0
Atlantic,B1,0,1
atlas,C1,0,1
atmosphere,B1,1,1
atmospheric,C1,0,1
atom,A2,1,1
atomic,B1,1,1
attach,B1,1,1
attached,B2,0,0
attachment,B1,1,1
attack,A2,1,1
attain,B1,1,1
attainable,B2,0,0
attainment,B2,0,0
attempt,A2,1,1
attend,B1,1,1
attendance,B2,1,1
attendant,B2,1,1
attention,A2,1,1
attentive,B2,0,1
attentively,B2,0,1
attic,B2,0,1
attitude,A2,1,1
attorney,C1,1,1
attract,B1,1,1
attraction,B1,1,1
attractive,A2,1,0
attractiveness,B2,0,0
attributable,B2,0,1
attribute,B2,1,1
attribution,B2,0,1
attributive,C2,0,1
attrition,C2,0,0
attuned,C2,0,0
atypical,B2,0,0
aubergine,B2,0,0
auction,C1,1,1
audience,A2,1,1
audio,A2,1,0
audit,B2,1,0
audition,B2,1,0
auditorium,C1,1,1
auditory,C1,1,0
auger,C1,1,0
August,A1,0,1
aunt,A1,1,1
aural,C1,1,1
auspice,C2,1,1
austere,C2,1,0
austerely,C2,0,0
austerity,C2,0,0
australian,B1,0,1
authentic,B2,1,0
authenticity,C2,1,0
author,A2,1,1
authorisation,B2,0,1
authoritative,B2,0,0
authority,B1,1,1
authorize/authorise,B2,1,1
autobiography,B2,1,1
automate,C2,0,1
automated,B2,1,0
automatic,A2,1,1
automatically,A2,1,0
automation,B2,0,1
automobile,B2,1,1
autonomous,C2,1,1
autonomously,C2,0,0
autonomy,B1,1,1
autopilot,C2,0,0
autumn,A1,1,1
auxiliary,B1,1,1
avail,B2,0,1
availability,B2,1,1
available,B1,0,1
avant-garde,C1,1,0
avenge,C1,0,1
avenue,B1,1,1
average,A2,1,1
averse,C2,1,0
avian,C2,0,0
aviation,B2,1,1
avid,C1,1,0
avoid,A2,1,1
await,B2,1,1
awake,A1,0,0
awaken,B2,1,1
